id,ini,end
1,0,6652313
2,0,6082616
3,0,6130061
4,817914,6053613
5,772051,6430197
7,784004,8033955
35,742437,5647632
9,0,8572196
10,0,5610812
11,1286398,5908218
12,807642,4985841
13,1387570,5626548
14,721227,5936410
15,678056,6131083
45,4288702,5753146
17,755955,5935093
18,768054,5672919
19,690662,2739184
20,751756,8465912
21,0,9769708
22,897660,5328800
23,926244,8480968
24,1161270,8220734
25,1359345,7725473
26,991109,5510171
27,2979805,5468341
29,3157766,6973012
30,3576005,8426502
31,4123547,5398823
32,4216462,8415540
33,4213314,6638696
34,3127441,6328104
